time,x_omega,y_omega,z_omega,temp,index,x_angle_1,y_angle_1,z_angle_1,x_angle_2,y_angle_2,z_angle_2
0.318,0.002739428,0.081255171,-0.014688987,27.5,2545,9.38E-05,0.00161722,-0.001709086,-0.000658355,0.002449951,-0.00086988
0.32,0.000613886,0.062913627,0.00814169,27.5,2546,9.98E-05,0.001738957,-0.00169849,-0.000652876,0.002612461,-0.000899258
0.322,-0.004168585,0.039331642,0.025662907,27.5,2547,9.62E-05,0.001813531,-0.001652852,-0.000651648,0.002738288,-0.000882974
0.324,-0.000980271,0.014177524,0.044776962,27.5,2548,9.90E-05,0.001837796,-0.001568986,-0.000659985,0.002816952,-0.000831649
0.326,-0.003637199,-0.005736152,0.054864935,27.5,2549,9.65E-05,0.001822234,-0.001464944,-0.000661946,0.002845307,-0.000742095
0.328,-0.00469997,-0.031938358,0.064421963,27.5,2550,9.19E-05,0.001754267,-0.001341788,-0.00066922,0.002833834,-0.000632365
0.33,-0.004168585,-0.061284828,0.074509936,27.5,2551,8.83E-05,0.001627608,-0.001198456,-0.00067862,0.002769958,-0.000503521
0.332,-0.00469997,-0.081722548,0.084066964,27.5,2552,8.37E-05,0.001460073,-0.00103601,-0.000686957,0.002647388,-0.000354501
0.334,-0.002574428,-0.100064092,0.091500208,27.5,2553,8.33E-05,0.001255854,-0.000858698,-0.000696357,0.002483943,-0.000186367
0.336,-0.00469997,-0.120501813,0.094685883,27.5,2554,7.87E-05,0.001010761,-0.000675014,-0.000701506,0.002283815,-3.36663E-06
0.338,-0.000980271,-0.130982695,0.101057235,27.5,2555,8.15E-05,0.000744705,-0.000478588,-0.000710906,0.002042811,0.000186005
0.34,-0.000448886,-0.137271224,0.098933451,27.5,2556,8.54E-05,0.000466073,-0.000286409,-0.000712866,0.001780846,0.00038812
0.342,-0.000980271,-0.142511666,0.101057235,27.5,2557,8.82E-05,0.00017696,-9.00E-05,-0.000713764,0.001506303,0.000585987
0.344,-0.002574428,-0.14565593,0.105304803,27.5,2558,8.78E-05,-0.000118442,0.000114938,-0.000715725,0.00122128,0.000788101
0.346,-0.002574428,-0.14565593,0.103711965,27.5,2559,8.74E-05,-0.000413844,0.000316674,-0.000720874,0.000929968,0.000998711
0.348,-0.002574428,-0.138843357,0.102119127,27.5,2560,8.70E-05,-0.000695621,0.000515224,-0.000726023,0.000638656,0.001206135
0.35,-0.003105813,-0.132554827,0.095216829,27.5,2561,8.56E-05,-0.000964821,0.000699969,-0.000731171,0.00036097,0.001410373
0.352,-0.003637199,-0.115261372,0.094685883,27.5,2562,8.31E-05,-0.001199433,0.000883653,-0.000737383,9.58599E-05,0.001600806
